FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2006-03-24,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
2,2007-03-21,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
3,2008-09-28,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
4,2009-07-13,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
5,2010-06-04,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
6,2012-05-22,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
7,2013-03-01,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
8,2013-09-29,Falcon 9,6123.5,LEO,CCAFS SLC 40,False Ocean,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
9,2013-12-03,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
10,2014-01-06,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
11,2014-04-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,True Ocean,1,False,False,True,,5.0,0,B1049,-80.577366,28.561857
12,2014-07-14,Falcon 9,6123.5,LEO,CCAFS SLC 40,True Ocean,1,False,False,True,,5.0,0,B1049,-80.577366,28.561857
13,2014-08-05,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
14,2014-09-07,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
15,2014-09-21,Falcon 9,6123.5,LEO,CCAFS SLC 40,False Ocean,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
16,2015-01-10,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,5.0,0,B1049,-80.577366,28.561857
17,2015-02-11,Falcon 9,6123.5,LEO,CCAFS SLC 40,True Ocean,1,True,False,True,,5.0,0,B1049,-80.577366,28.561857
18,2015-04-14,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,5.0,0,B1049,-80.577366,28.561857
19,2015-04-27,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
20,2015-06-28,Falcon 9,6123.5,LEO,CCAFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
21,2015-12-22,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
22,2016-01-17,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
23,2016-03-04,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
24,2016-04-08,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
25,2016-05-06,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
26,2016-05-27,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
27,2016-07-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
28,2016-08-14,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
29,2016-09-01,Falcon 9,6123.5,LEO,CCAFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
30,2017-01-14,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
31,2017-02-19,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
32,2017-03-16,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
33,2017-03-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
34,2017-05-01,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
35,2017-05-15,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
36,2017-06-03,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
37,2017-06-23,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
38,2017-06-25,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
39,2017-07-05,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
40,2017-08-14,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
41,2017-08-24,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
42,2017-09-07,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
43,2017-10-09,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
44,2017-10-11,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
45,2017-10-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
46,2017-12-15,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
47,2017-12-23,Falcon 9,6123.5,LEO,CCAFS SLC 40,True Ocean,2,True,True,False,,5.0,0,B1049,-80.577366,28.561857
48,2018-01-08,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
49,2018-01-31,Falcon 9,6123.5,LEO,CCAFS SLC 40,True Ocean,2,True,True,True,,5.0,0,B1049,-80.577366,28.561857
50,2018-03-06,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,True,False,True,,5.0,0,B1049,-80.577366,28.561857
51,2018-03-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,2,True,True,True,,5.0,0,B1049,-80.577366,28.561857
52,2018-04-02,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,2,True,True,True,,5.0,0,B1049,-80.577366,28.561857
53,2018-04-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
54,2018-05-11,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
55,2018-06-04,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,2,False,True,False,,5.0,0,B1049,-80.577366,28.561857
56,2018-06-29,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,2,False,True,False,,5.0,0,B1049,-80.577366,28.561857
57,2018-07-22,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
58,2018-07-25,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
59,2018-08-07,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
60,2018-09-10,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
61,2018-10-08,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,0,B1049,-80.577366,28.561857
62,2018-11-15,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
63,2018-12-03,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
